Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
REPLAY BOYS,30,"6,82€","9,75€","Choose Your Own Adventure, Visual Novel, Female Protagonist, Otome",Very Positive,94,2074370,https://store.steampowered.com/app/2074370/REPLAY_BOYS/
SLAMMED!,30,"4,82€","6,89€","Indie, RPG, Choose Your Own Adventure, Wrestling",Very Positive,94,343370,https://store.steampowered.com/app/343370/SLAMMED/
Store Wars: Multiplayer Shop Simulator,30,"8,95€","12,79€","Simulation, Online Co-Op, Funny, Management",Very Positive,94,3213600,https://store.steampowered.com/app/3213600/Store_Wars_Multiplayer_Shop_Simulator/
幸存者幻想曲 Survivor Fantasia,30,"1,39€","1,99€","Adventure, Action, Strategy, RPG",Very Positive,94,2717050,https://store.steampowered.com/app/2717050/_Survivor_Fantasia/
Au Revoir,30,"3,49€","4,99€","Point & Click, Story Rich, Cyberpunk, Noir",Very Positive,94,3079600,https://store.steampowered.com/app/3079600/Au_Revoir/
SignaNota,30,"6,82€","9,75€","Pixel Graphics, Action, Story Rich, Adventure",Very Positive,94,2974620,https://store.steampowered.com/app/2974620/SignaNota/
Cafe DReAMLAND,30,"8,95€","12,79€","Adventure, 2D, Story Rich, Lovecraftian",Very Positive,94,3296260,https://store.steampowered.com/app/3296260/Cafe_DReAMLAND/
Wayward Strand,30,"11,75€","16,79€","Singleplayer, Story Rich, Atmospheric, Adventure",Very Positive,94,1080450,https://store.steampowered.com/app/1080450/Wayward_Strand/
BloodDome99,30,"3,49€","4,99€","Action Roguelike, Bullet Hell, Pixel Graphics, 1980s",Very Positive,94,2351890,https://store.steampowered.com/app/2351890/BloodDome99/
Restless Dreams,30,"2,09€","2,99€","Adventure, Psychological Horror, Indie, Horror",Very Positive,94,4018210,https://store.steampowered.com/app/4018210/Restless_Dreams/
Midnight Swamp,30,"6,82€","9,75€","Adventure, Dark, Hand-drawn, Surreal",Very Positive,94,3025310,https://store.steampowered.com/app/3025310/Midnight_Swamp/
Finding Cats In Breeze Village,30,"0,76€","1,09€","Hidden Object, Cats, Wholesome, Cozy",Very Positive,94,2845400,https://store.steampowered.com/app/2845400/Finding_Cats_In_Breeze_Village/
RGB GlitchGazer,30,"4,82€","6,89€","Visual Novel, Adventure, 2D, Anime",Very Positive,94,3668550,https://store.steampowered.com/app/3668550/RGB_GlitchGazer/
HOMESICKNESS,30,"5,45€","7,79€","Psychological Horror, Nostalgia, Exploration, Story Rich",Very Positive,94,3597480,https://store.steampowered.com/app/3597480/HOMESICKNESS/
Tears of Adria,30,"9,65€","13,79€","Auto Battler, Multiplayer, Strategy RPG, Open World",Very Positive,94,2561500,https://store.steampowered.com/app/2561500/Tears_of_Adria/
SHINONOME : Rainy Night Manor,30,"10,84€","15,49€","Action Roguelike, Roguelite, Puzzle, Action",Very Positive,94,1977910,https://store.steampowered.com/app/1977910/SHINONOME__Rainy_Night_Manor/
SUPER ALICE DOLLS,30,"5,45€","7,79€","Action, 2D Platformer, Cute, Singleplayer",Very Positive,94,2887260,https://store.steampowered.com/app/2887260/SUPER_ALICE_DOLLS/
Love Is All Around,30,"6,82€","9,75€","Dating Sim, Sexual Content, FMV, Singleplayer",Very Positive,93,2322560,https://store.steampowered.com/app/2322560/Love_Is_All_Around/
ShellShock Live,30,"6,82€","9,75€","Tanks, Multiplayer, Strategy, 2D",Very Positive,93,326460,https://store.steampowered.com/app/326460/ShellShock_Live/
The Exit 8,30,"2,79€","3,99€","Exploration, Puzzle, Immersive Sim, Walking Simulator",Very Positive,93,2653790,https://store.steampowered.com/app/2653790/The_Exit_8/
Drova - Forsaken Kin,30,"17,49€","24,99€","RPG, Exploration, Action RPG, Pixel Graphics",Very Positive,93,1585180,https://store.steampowered.com/app/1585180/Drova__Forsaken_Kin/
The Coin Game,30,"13,29€","18,99€","Arcade, Life Sim, Open World, Casual",Very Positive,93,598980,https://store.steampowered.com/app/598980/The_Coin_Game/
Selaco,30,"17,15€","24,50€","FPS, Shooter, Female Protagonist, First-Person",Very Positive,93,1592280,https://store.steampowered.com/app/1592280/Selaco/
GNOSIA,30,"14,69€","20,99€","Visual Novel, Story Rich, Anime, Time Travel",Very Positive,93,1608290,https://store.steampowered.com/app/1608290/GNOSIA/
Seraph's Last Stand,30,"0,69€","0,99€","Action Roguelike, Bullet Hell, Casual, Roguelike Deckbuilder",Very Positive,88,1919460,https://store.steampowered.com/app/1919460/Seraphs_Last_Stand/
Sand:box,30,"1,39€","1,99€","Sandbox, Simulation, Pixel Graphics, 2D",Very Positive,93,2179380,https://store.steampowered.com/app/2179380/Sandbox/
Megastore Simulator,30,"9,65€","13,79€","Simulation, Management, Life Sim, Economy",Very Positive,93,3819640,https://store.steampowered.com/app/3819640/Megastore_Simulator/
Farlands,30,"12,59€","17,99€","Farming Sim, Building, Crafting, Early Access",Very Positive,93,2252680,https://store.steampowered.com/app/2252680/Farlands/
Attack on Toys,30,"3,98€","5,69€","Early Access, Action RTS, Third-Person Shooter, Real Time Tactics",Very Positive,93,1269690,https://store.steampowered.com/app/1269690/Attack_on_Toys/
Loco Motive,30,"12,59€","17,99€","Point & Click, Mystery, Comedy, Pixel Graphics",Very Positive,93,1709880,https://store.steampowered.com/app/1709880/Loco_Motive/
Ken ga Kimi,30,"29,39€","41,99€","Otome, Female Protagonist, RPG, Adventure",Very Positive,93,1162650,https://store.steampowered.com/app/1162650/Ken_ga_Kimi/
Warfare Legacy Collection,30,"6,82€","9,75€","Strategy, Side Scroller, World War I, Action",Very Positive,93,2745870,https://store.steampowered.com/app/2745870/Warfare_Legacy_Collection/
tomorrow won't come for those without ██████,30,"1,39€","1,99€","Philosophical, Atmospheric, Minimalist, Puzzle",Very Positive,93,1334700,https://store.steampowered.com/app/1334700/tomorrow_wont_come_for_those_without/
ghostpia Season One,30,"13,65€","19,50€","Singleplayer, Horror, Visual Novel, Psychological Horror",Very Positive,93,2192620,https://store.steampowered.com/app/2192620/ghostpia_Season_One/
Primordialis,30,"13,65€","19,50€","Early Access, Simulation, Physics, Action Roguelike",Very Positive,93,3011360,https://store.steampowered.com/app/3011360/Primordialis/
Mama's Sleeping Angels,30,"6,99€","9,99€","Horror, Multiplayer, Procedural Generation, Adventure",Very Positive,93,2918310,https://store.steampowered.com/app/2918310/Mamas_Sleeping_Angels/
Ark Nova,30,"15,39€","21,99€","Strategy, Board Game, PvP, PvE",Very Positive,93,2438990,https://store.steampowered.com/app/2438990/Ark_Nova/
Lingo,30,"6,82€","9,75€","Puzzle, Indie, First-Person, Exploration",Very Positive,93,1814170,https://store.steampowered.com/app/1814170/Lingo/
Garden of the Sea (VR),30,"6,82€","9,75€","Casual, VR, Simulation, Indie",Very Positive,93,1086850,https://store.steampowered.com/app/1086850/Garden_of_the_Sea_VR/
Jimmy and the Pulsating Mass,30,"10,49€","14,99€","RPG, Indie, Horror, Pixel Graphics",Very Positive,93,706560,https://store.steampowered.com/app/706560/Jimmy_and_the_Pulsating_Mass/
Dead Grid,30,"8,75€","12,50€","Zombies, Loot, Gore, Turn-Based Combat",Very Positive,93,1533680,https://store.steampowered.com/app/1533680/Dead_Grid/
Race for the Galaxy,30,"6,29€","8,99€","Strategy, Board Game, Card Game, Space",Very Positive,93,579940,https://store.steampowered.com/app/579940/Race_for_the_Galaxy/
Lingo 2,30,"6,82€","9,75€","Puzzle, Nonlinear, Adventure, Exploration",Very Positive,93,2523310,https://store.steampowered.com/app/2523310/Lingo_2/
Fight of Animals,30,"5,73€","8,19€","Action, Indie, Fighting, Casual",Very Positive,93,1160330,https://store.steampowered.com/app/1160330/Fight_of_Animals/
Platypus,30,"3,49€","4,99€","Action, Shoot 'Em Up, Arcade, Local Co-Op",Very Positive,93,307340,https://store.steampowered.com/app/307340/Platypus/
Decollate Decoration,30,"6,15€","8,79€","Adventure, Horror, Pixel Graphics, Casual",Very Positive,93,3155570,https://store.steampowered.com/app/3155570/Decollate_Decoration/
Pale Coins,30,"6,82€","9,75€","Action RPG, Open World, RPG, Exploration",Very Positive,93,2438330,https://store.steampowered.com/app/2438330/Pale_Coins/
Touhou Witch's Night Market,30,"3,49€","4,99€","Strategy, Roguelike, Auto Battler, 2D",Very Positive,93,3950050,https://store.steampowered.com/app/3950050/Touhou_Witchs_Night_Market/
Paper Bride 7 Lethal Bond,30,"6,82€","9,75€","RPG, Interactive Fiction, Word Game, Visual Novel",Very Positive,93,3627790,https://store.steampowered.com/app/3627790/Paper_Bride_7_Lethal_Bond/
Academy Love Saga: Tennis Angels,30,"6,15€","8,79€","Sports, Sexual Content, Simulation, Tennis",Very Positive,93,3099630,https://store.steampowered.com/app/3099630/Academy_Love_Saga_Tennis_Angels/
Field of Honor,30,"3,49€","4,99€","Casual, Simulation, Sandbox, Shooter",Very Positive,93,2606920,https://store.steampowered.com/app/2606920/Field_of_Honor/
Quantum Odyssey,30,"9,09€","12,99€","Early Access, Programming, Logic, Puzzle",Very Positive,93,2802710,https://store.steampowered.com/app/2802710/Quantum_Odyssey/
Rekindled Trails,30,"8,39€","11,99€","Exploration, Collectathon, Puzzle, Character Customization",Very Positive,93,3378330,https://store.steampowered.com/app/3378330/Rekindled_Trails/
Whiskey-Four,30,"4,82€","6,89€","Character Customization, RPG, Choices Matter, Choose Your Own Adventure",Very Positive,93,3089700,https://store.steampowered.com/app/3089700/WhiskeyFour/
CashGrab,30,"2,05€","2,93€","Horror, Online Co-Op, Multiplayer, Funny",Very Positive,93,2138780,https://store.steampowered.com/app/2138780/CashGrab/
My Sleeping Girlfriend,30,"2,79€","3,99€","Horror, Psychological Horror, Thriller, Walking Simulator",Very Positive,93,3481710,https://store.steampowered.com/app/3481710/My_Sleeping_Girlfriend/
Finding Cats In Amusement Park,30,"2,09€","2,99€","Hidden Object, Cats, Wholesome, Cozy",Very Positive,93,2563350,https://store.steampowered.com/app/2563350/Finding_Cats_In_Amusement_Park/
Pants Quest,30,"4,61€","6,59€","Adventure, Point & Click, Retro, Pixel Graphics",Very Positive,93,1810610,https://store.steampowered.com/app/1810610/Pants_Quest/
Nom Nom: Cozy Forest Café,30,"8,95€","12,79€","Cooking, Rhythm, Cozy, Wholesome",Very Positive,93,2428800,https://store.steampowered.com/app/2428800/Nom_Nom_Cozy_Forest_Caf/
District Steel,30,"17,49€","24,99€","Early Access, Bullet Time, Sci-fi, Old School",Very Positive,93,616820,https://store.steampowered.com/app/616820/District_Steel/
VIRTUAL GIRL @ WORLD’S END,30,"13,65€","19,50€","Adventure, Visual Novel, Cute, Emotional",Very Positive,93,3290440,https://store.steampowered.com/app/3290440/VIRTUAL_GIRL__WORLDS_END/
Plague: London 1665,30,"10,49€","14,99€","RPG, Action-Adventure, Simulation, 2D",Very Positive,93,2225010,https://store.steampowered.com/app/2225010/Plague_London_1665/
叛逆の守護者,30,"11,54€","16,49€","Simulation, Strategy, Strategy RPG, Turn-Based Strategy",Very Positive,93,3441450,https://store.steampowered.com/app/3441450/_/
Bean Meets Paw,30,"6,82€","9,75€","Cooking, Crafting, Life Sim, Management",Very Positive,93,3675770,https://store.steampowered.com/app/3675770/Bean_Meets_Paw/
Farming Simulator 22,30,"13,99€","19,99€","Simulation, Farming Sim, Co-op, Multiplayer",Very Positive,92,1248130,https://store.steampowered.com/app/1248130/Farming_Simulator_22/
Core Keeper,30,"13,99€","19,99€","Open World, Survival, Exploration, Pixel Graphics",Very Positive,94,1621690,https://store.steampowered.com/app/1621690/Core_Keeper/
暖雪 Warm Snow,30,"10,49€","14,99€","Action Roguelike, Roguelite, Martial Arts, Action-Adventure",Very Positive,94,1296830,https://store.steampowered.com/app/1296830/_Warm_Snow/
AI LIMIT,30,"24,49€","34,99€","Souls-like, Female Protagonist, Anime, Action RPG",Very Positive,91,2407270,https://store.steampowered.com/app/2407270/AI_LIMIT/
Disney Dreamlight Valley,30,"27,99€","39,99€","Relaxing, Life Sim, Character Customization, Exploration",Very Positive,91,1401590,https://store.steampowered.com/app/1401590/Disney_Dreamlight_Valley/
DYNASTY WARRIORS: ORIGINS,30,"55,99€","79,99€","Hack and Slash, Musou, Spectacle fighter, Wargame",Very Positive,91,2384580,https://store.steampowered.com/app/2384580/DYNASTY_WARRIORS_ORIGINS/
KinitoPET,30,"4,12€","5,89€","Psychological Horror, Horror, Indie, Retro",Very Positive,93,2075070,https://store.steampowered.com/app/2075070/KinitoPET/
Okami + Kunitsu-Gami Bundle,30,"34,99€","49,99€","Mythology, Action, Adventure, Strategy",Very Positive,92,"587620,2510710",https://store.steampowered.com/sub/1186207/
Colony Survival,30,"17,46€","24,95€","Colony Sim, Survival, Base Building, Building",Very Positive,91,366090,https://store.steampowered.com/app/366090/Colony_Survival/
ROUTINE,30,"17,49€","24,99€","Singleplayer, Sci-fi, Psychological Horror, Atmospheric",Very Positive,92,606160,https://store.steampowered.com/app/606160/ROUTINE/
Depersonalization,30,"13,65€","19,50€","Lovecraftian, Pixel Graphics, Investigation, RPG",Very Positive,83,1477070,https://store.steampowered.com/app/1477070/Depersonalization/
Moncage,30,"10,49€","14,99€","Puzzle, Casual, Indie, Singleplayer",Very Positive,87,1195290,https://store.steampowered.com/app/1195290/Moncage/
WILL: A Wonderful World / WILL：美好世界,30,"10,84€","15,49€","Story Rich, Puzzle, Adventure, RPG",Very Positive,85,588040,https://store.steampowered.com/app/588040/WILL_A_Wonderful_World__WILL/
The Rise of the Golden Idol,30,"13,65€","19,50€","Mystery, Investigation, Detective, Conspiracy",Overwhelmingly Positive,95,2716400,https://store.steampowered.com/app/2716400/The_Rise_of_the_Golden_Idol/
s.p.l.i.t,30,"2,09€","2,99€","Simulation, Hacking, Psychological Horror, Atmospheric",Very Positive,92,3684610,https://store.steampowered.com/app/3684610/split/
Swords and Sandals Classic Collection,30,"6,82€","9,75€","Strategy, RPG, Turn-Based Combat, Action",Very Positive,92,1055430,https://store.steampowered.com/app/1055430/Swords_and_Sandals_Classic_Collection/
Horripilant,30,"5,45€","7,79€","Incremental, Idler, Pixel Graphics, Casual",Very Positive,91,3525970,https://store.steampowered.com/app/3525970/Horripilant/
Cozy Island,30,"6,15€","8,79€","Multiplayer, Casual, Life Sim, Farming Sim",Very Positive,92,2918500,https://store.steampowered.com/app/2918500/Cozy_Island/
Click and Conquer,30,"2,48€","3,55€","Incremental, Casual, Simulation, Idler",Very Positive,92,3267900,https://store.steampowered.com/app/3267900/Click_and_Conquer/
Labyrinth Of The Demon King,30,"13,65€","19,50€","Dungeon Crawler, Survival Horror, Atmospheric, First-Person",Very Positive,92,1804010,https://store.steampowered.com/app/1804010/Labyrinth_Of_The_Demon_King/
Desktop Defender,30,"3,49€","4,99€","Desktop Companion, Idler, Incremental, Auto Battler",Very Positive,92,3772810,https://store.steampowered.com/app/3772810/Desktop_Defender/
Thrive,30,"2,79€","3,99€","Simulation, Science, Sandbox, Character Customization",Very Positive,92,1779200,https://store.steampowered.com/app/1779200/Thrive/
Yooka-Replaylee,30,"20,29€","28,99€","Exploration, 3D Platformer, Collectathon, Puzzle",Very Positive,92,2448020,https://store.steampowered.com/app/2448020/YookaReplaylee/
Vacation Simulator,30,"13,65€","19,50€","VR, Simulation, Funny, First-Person",Very Positive,92,726830,https://store.steampowered.com/app/726830/Vacation_Simulator/
Bugtopia,30,"4,12€","5,89€","Idler, Collectathon, Incremental, Creature Collector",Very Positive,92,2988300,https://store.steampowered.com/app/2988300/Bugtopia/
BattleGroupVR,30,"14,69€","20,99€","Space Sim, Space, VR, Multiplayer",Very Positive,92,1178780,https://store.steampowered.com/app/1178780/BattleGroupVR/
Mercury Abbey,30,"12,24€","17,49€","Pixel Graphics, Puzzle, Singleplayer, Hand-drawn",Very Positive,92,1689080,https://store.steampowered.com/app/1689080/Mercury_Abbey/
BRAVELY DEFAULT FLYING FAIRY HD Remaster,30,"27,99€","39,99€","RPG, Violent, JRPG, Fantasy",Very Positive,92,2833580,https://store.steampowered.com/app/2833580/BRAVELY_DEFAULT_FLYING_FAIRY_HD_Remaster/
Walk of Life,30,"13,65€","19,50€","Life Sim, Party Game, 4 Player Local, Funny",Very Positive,92,1910150,https://store.steampowered.com/app/1910150/Walk_of_Life/
Piñata Go Boom,30,"2,79€","3,99€","Incremental, Casual, Strategy, Simulation",Very Positive,92,3269180,https://store.steampowered.com/app/3269180/Piata_Go_Boom/
Sip Fisher,30,"3,49€","4,99€","Atmospheric, Adventure, Colorful, Building",Very Positive,92,3680510,https://store.steampowered.com/app/3680510/Sip_Fisher/
Cannon Brawl,30,"11,19€","15,99€","Indie, Multiplayer, Local Multiplayer, 2D",Very Positive,92,230860,https://store.steampowered.com/app/230860/Cannon_Brawl/
Rogue Voltage,30,"11,05€","15,79€","Deckbuilding, Automation, Card Battler, Roguelike",Very Positive,92,1494560,https://store.steampowered.com/app/1494560/Rogue_Voltage/
LineWay,30,"0,69€","0,99€","Casual, Puzzle, Indie, Minimalist",Very Positive,92,661430,https://store.steampowered.com/app/661430/LineWay/
Clank!,30,"14,69€","20,99€","Strategy, Board Game, Deckbuilding, Card Game",Very Positive,92,1722870,https://store.steampowered.com/app/1722870/Clank/
Console Shop Simulator,30,"11,54€","16,49€","Early Access, Casual, Simulation, Capitalism",Very Positive,92,3425460,https://store.steampowered.com/app/3425460/Console_Shop_Simulator/
Windswept,30,"13,65€","19,50€","2D Platformer, Platformer, Difficult, Precision Platformer",Very Positive,92,1660960,https://store.steampowered.com/app/1660960/Windswept/
Dyping Escape,30,"6,82€","9,75€","Typing, Immersive Sim, Hidden Object, Interactive Fiction",Very Positive,92,3406810,https://store.steampowered.com/app/3406810/Dyping_Escape/
Whimside,30,"4,03€","5,76€","Creature Collector, Cute, Farming Sim, Automation",Very Positive,92,3064030,https://store.steampowered.com/app/3064030/Whimside/
Trash of the Titans,30,"6,15€","8,79€","Early Access, Tactical RPG, Turn-Based Tactics, Roguelite",Very Positive,92,2450400,https://store.steampowered.com/app/2450400/Trash_of_the_Titans/
When The Night Comes,30,"8,40€","12,00€","LGBTQ+, Visual Novel, Dating Sim, Romance",Very Positive,92,1400870,https://store.steampowered.com/app/1400870/When_The_Night_Comes/
Missing Banban,30,"6,82€","9,75€","Side Scroller, 2D Platformer, Shoot 'Em Up, Platformer",Very Positive,92,3113680,https://store.steampowered.com/app/3113680/Missing_Banban/
Haunted Property,30,"2,09€","2,99€","Casual, Interactive Fiction, Walking Simulator, Immersive Sim",Very Positive,92,3400040,https://store.steampowered.com/app/3400040/Haunted_Property/
Nobody Nowhere,30,"6,82€","9,75€","Adventure, Anime, Story Rich, Sci-fi",Very Positive,92,2440890,https://store.steampowered.com/app/2440890/Nobody_Nowhere/
Instant Farmer - Logic Puzzle,30,"1,39€","1,99€","Puzzle, Logic, Casual, Agriculture",Very Positive,92,1399670,https://store.steampowered.com/app/1399670/Instant_Farmer__Logic_Puzzle/
花都之恋,30,"2,79€","3,99€","RPG, Dating Sim, Visual Novel, Word Game",Very Positive,92,1846630,https://store.steampowered.com/app/1846630/_/
Tiny Isle,30,"6,82€","9,75€","Casual, Building, Resource Management, Cute",Very Positive,92,3337180,https://store.steampowered.com/app/3337180/Tiny_Isle/
Mizuchi 白蛇心傳,29,"10,50€","14,79€","Visual Novel, Story Rich, Philosophical, Female Protagonist",Very Positive,96,1121300,https://store.steampowered.com/app/1121300/Mizuchi/
LiveStream: Chapter One,29,"4,89€","6,89€","Exploration, Hidden Object, Puzzle, Adventure",Very Positive,93,3920890,https://store.steampowered.com/app/3920890/LiveStream_Chapter_One/
MEMOLOGY 2: OLD TIMES,28,"0,71€","0,99€","Comedy, Memes, Trivia, Education",Overwhelmingly Positive,95,3107930,https://store.steampowered.com/app/3107930/MEMOLOGY_2_OLD_TIMES/
MEMOLOGY: Absurd racing,28,"0,71€","0,99€","Racing, Casual, Adventure, RPG",Very Positive,95,4088000,https://store.steampowered.com/app/4088000/MEMOLOGY_Absurd_racing/
Pallet Jack Racing,28,"0,71€","0,99€","Racing, Casual, Simulation, Sports",Very Positive,94,4123890,https://store.steampowered.com/app/4123890/Pallet_Jack_Racing/
Dungeon Bar: Gachi Puzzles,28,"0,71€","0,99€","Dark Fantasy, Casual, Memes, Comedy",Very Positive,93,2629340,https://store.steampowered.com/app/2629340/Dungeon_Bar_Gachi_Puzzles/
近畿霊務局 - Kinki Spiritual Affairs Bureau,28,"7,02€","9,75€","Action, Horror, 3D Fighter, Action RPG",Very Positive,94,2956820,https://store.steampowered.com/app/2956820/__Kinki_Spiritual_Affairs_Bureau/
Turkish Throne,28,"2,16€","3,00€","Simulation, Strategy, Sandbox, Political Sim",Very Positive,92,2839450,https://store.steampowered.com/app/2839450/Turkish_Throne/
MEME EXAM 2025,28,"0,71€","0,99€","Memes, Trivia, Education, Incremental",Very Positive,92,4348920,https://store.steampowered.com/app/4348920/MEME_EXAM_2025/
Crime Scene Cleaner,27,"21,89€","29,99€","Simulation, Crime, Singleplayer, Relaxing",Overwhelmingly Positive,98,1040200,https://store.steampowered.com/app/1040200/Crime_Scene_Cleaner/
Brány Skeldalu,27,"3,64€","4,99€","RPG, Dungeon Crawler, CRPG, Hand-drawn",Very Positive,95,3533830,https://store.steampowered.com/app/3533830/Brny_Skeldalu/
Idle Waters,27,"3,64€","4,99€","Idler, Simulation, Fishing, Pixel Graphics",Very Positive,94,2963540,https://store.steampowered.com/app/2963540/Idle_Waters/
Archipel Logic Infinite,27,"4,73€","6,49€","Puzzle, Difficult, Casual, Procedural Generation",Very Positive,94,3066440,https://store.steampowered.com/app/3066440/Archipel_Logic_Infinite/
Oik 2,27,"0,72€","0,99€","Minimalist, Physics, Casual, Incremental",Very Positive,93,611980,https://store.steampowered.com/app/611980/Oik_2/
Ithya: Magic Studies,26,"8,13€","10,99€","Cozy, Desktop Companion, Idler, Music",Overwhelmingly Positive,98,3330250,https://store.steampowered.com/app/3330250/Ithya_Magic_Studies/
我只是想让她们都幸福,26,"7,21€","9,75€","FMV, Dating Sim, First-Person, Simulation",Overwhelmingly Positive,97,3734680,https://store.steampowered.com/app/3734680/_/
Chill Pulse,26,"3,69€","4,99€","Casual, Utilities, Simulation, Idler",Very Positive,92,2826180,https://store.steampowered.com/app/2826180/Chill_Pulse/
Potato Flowers in Full Bloom,26,"11,09€","14,99€","RPG, Dungeon Crawler, Party-Based RPG, Turn-Based Combat",Overwhelmingly Positive,95,1601280,https://store.steampowered.com/app/1601280/Potato_Flowers_in_Full_Bloom/
Finding Cats In Fallen Leaves Town,26,"0,81€","1,09€","Casual, Hidden Object, Cats, Wholesome",Very Positive,96,3110270,https://store.steampowered.com/app/3110270/Finding_Cats_In_Fallen_Leaves_Town/
这是谐音梗,26,"1,87€","2,53€","Casual, Funny, Singleplayer, Multiplayer",Very Positive,94,4164310,https://store.steampowered.com/app/4164310/_/
Zerko,26,"2,21€","2,99€","Casual, Puzzle, 2D, Abstract",Very Positive,94,2862990,https://store.steampowered.com/app/2862990/Zerko/
Alice Mesmerizing Episodes of Neurosis (AMEN),26,"1,11€","1,49€","Horror, Female Protagonist, Hidden Object, Psychedelic",Very Positive,93,3355430,https://store.steampowered.com/app/3355430/Alice_Mesmerizing_Episodes_of_Neurosis_AMEN/
Idle ShowOff,26,"1,47€","1,99€","Casual, Idler, Software, Word Game",Very Positive,93,2392060,https://store.steampowered.com/app/2392060/Idle_ShowOff/
Öoo,25,"7,31€","9,75€","Puzzle Platformer, 2D Platformer, Metroidvania, Exploration",Overwhelmingly Positive,99,2721890,https://store.steampowered.com/app/2721890/oo/
Aventura Copilului Albastru și Urât,25,"1,19€","1,59€","Hentai, Sexual Content, Adventure, Nudity",Overwhelmingly Positive,99,1530140,https://store.steampowered.com/app/1530140/Aventura_Copilului_Albastru_i_Urt/
Dialtown: Phone Dating Sim,25,"5,84€","7,79€","Indie, Casual, Dating Sim, Comedy",Overwhelmingly Positive,99,1035990,https://store.steampowered.com/app/1035990/Dialtown_Phone_Dating_Sim/
Vampire Survivors,25,"3,74€","4,99€","Action Roguelike, Bullet Hell, Vampires, Roguelite",Overwhelmingly Positive,98,1794680,https://store.steampowered.com/app/1794680/Vampire_Survivors/
Chill with You : Lo-Fi Story,25,"8,84€","11,79€","Relaxing, Casual, Atmospheric, Utilities",Overwhelmingly Positive,97,3548580,https://store.steampowered.com/app/3548580/Chill_with_You__LoFi_Story/
Berry Bury Berry,25,"5,84€","7,79€","Incremental, 3D, First-Person, Psychological Horror",Overwhelmingly Positive,98,3370870,https://store.steampowered.com/app/3370870/Berry_Bury_Berry/
Monster Prom 4: Monster Con,25,"11,24€","14,99€","Visual Novel, LGBTQ+, Comedy, Dating Sim",Overwhelmingly Positive,98,2869860,https://store.steampowered.com/app/2869860/Monster_Prom_4_Monster_Con/
Linelith,25,"2,24€","2,99€","Casual, Puzzle, Strategy, Relaxing",Overwhelmingly Positive,98,1923790,https://store.steampowered.com/app/1923790/Linelith/
Soul Touch,25,"7,31€","9,75€","Choose Your Own Adventure, Immersive Sim, Interactive Fiction, Strategy",Overwhelmingly Positive,98,3947480,https://store.steampowered.com/app/3947480/Soul_Touch/
Chrono Gear: Warden of Time,25,"13,11€","17,49€","2D Platformer, Action, Female Protagonist, Time Manipulation",Overwhelmingly Positive,98,3081840,https://store.steampowered.com/app/3081840/Chrono_Gear_Warden_of_Time/
Sani Yang's Laboratory,25,"18,37€","24,50€","Simulation, Dating Sim, Visual Novel, 2D",Overwhelmingly Positive,98,3464370,https://store.steampowered.com/app/3464370/Sani_Yangs_Laboratory/
Deadeye Deepfake Simulacrum,25,"8,09€","10,79€","Top-Down Shooter, Hacking, RPG, Story Rich",Overwhelmingly Positive,98,1545990,https://store.steampowered.com/app/1545990/Deadeye_Deepfake_Simulacrum/
Find Matt's Cats,25,"12,74€","16,99€","Hidden Object, Point & Click, Collectathon, Puzzle",Overwhelmingly Positive,98,2624670,https://store.steampowered.com/app/2624670/Find_Matts_Cats/
DRACU-RIOT!,25,"25,49€","33,99€","Vampires, Visual Novel, Anime, Story Rich",Overwhelmingly Positive,98,1340140,https://store.steampowered.com/app/1340140/DRACURIOT/
ULTRAKILL,25,"16,11€","21,49€","Fast-Paced, Gore, FPS, Boomer Shooter",Overwhelmingly Positive,97,1229490,https://store.steampowered.com/app/1229490/ULTRAKILL/
Pseudoregalia,25,"4,41€","5,89€","3D Platformer, Metroidvania, Female Protagonist, Parkour",Overwhelmingly Positive,97,2365810,https://store.steampowered.com/app/2365810/Pseudoregalia/
CULTIC,25,"7,31€","9,75€","Boomer Shooter, FPS, Shooter, Old School",Overwhelmingly Positive,97,1684930,https://store.steampowered.com/app/1684930/CULTIC/
Scarlet Hollow,25,"16,49€","21,99€","Early Access, Choices Matter, Visual Novel, Horror",Overwhelmingly Positive,98,1609230,https://store.steampowered.com/app/1609230/Scarlet_Hollow/
Journey of Realm：Dawn Dew,25,"8,09€","10,79€","Turn-Based Tactics, Fantasy, RPG, Female Protagonist",Overwhelmingly Positive,97,2678640,https://store.steampowered.com/app/2678640/Journey_of_RealmDawn_Dew/
Sorry We're Closed,25,"17,84€","23,79€","LGBTQ+, Survival Horror, Female Protagonist, Psychological Horror",Overwhelmingly Positive,97,1796580,https://store.steampowered.com/app/1796580/Sorry_Were_Closed/
Reentry - A Space Flight Simulator,25,"25,49€","33,99€","Space, Simulation, Flight, Space Sim",Overwhelmingly Positive,97,882140,https://store.steampowered.com/app/882140/Reentry__A_Space_Flight_Simulator/
Catto's Post Office,25,"3,74€","4,99€","Casual, Cozy, Cute, Cats",Overwhelmingly Positive,97,2908050,https://store.steampowered.com/app/2908050/Cattos_Post_Office/
Baldur's Gate 3,25,"44,99€","59,99€","RPG, Character Customization, Choices Matter, Turn-Based Combat",Overwhelmingly Positive,96,1086940,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/
