Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
Cube Escape Collection,44,"2,79€","4,99€","Puzzle, Point & Click, Mystery, Horror",Overwhelmingly Positive,97,1292940,https://store.steampowered.com/app/1292940/Cube_Escape_Collection/
Underground Blossom,44,"2,79€","4,99€","Escape Room, Adventure, Puzzle, Point & Click",Overwhelmingly Positive,97,2291850,https://store.steampowered.com/app/2291850/Underground_Blossom/
Milo and the Magpies,44,"1,67€","2,99€","Adventure, Point & Click, Hand-drawn, Hidden Object",Overwhelmingly Positive,98,1407420,https://store.steampowered.com/app/1407420/Milo_and_the_Magpies/
Rusty Lake: Roots,44,"2,23€","3,99€","Puzzle, Point & Click, Indie, Psychological Horror",Overwhelmingly Positive,96,532110,https://store.steampowered.com/app/532110/Rusty_Lake_Roots/
Rusty Lake Hotel,44,"1,11€","1,99€","Puzzle, Point & Click, Indie, Adventure",Very Positive,94,435120,https://store.steampowered.com/app/435120/Rusty_Lake_Hotel/
Rusty Lake Paradise,44,"2,23€","3,99€","Puzzle, Point & Click, Indie, Adventure",Very Positive,93,744190,https://store.steampowered.com/app/744190/Rusty_Lake_Paradise/
ALAA-MOGUS MUST DIE,44,"0,55€","0,99€","Third Person, 3D, Souls-like, RPG",Very Positive,97,2777230,https://store.steampowered.com/app/2777230/ALAAMOGUS_MUST_DIE/
Puttler,44,"4,36€","7,79€","Mini Golf, Puzzle, Physics, Simulation",Very Positive,95,3198680,https://store.steampowered.com/app/3198680/Puttler/
NAGAISAN,44,"1,68€","3,00€","Comedy, Horror, Cute, Psychological Horror",Very Positive,95,3187770,https://store.steampowered.com/app/3187770/NAGAISAN/
The Past Within,44,"3,35€","5,99€","Co-op, Puzzle, Online Co-Op, Multiplayer",Very Positive,94,1515210,https://store.steampowered.com/app/1515210/The_Past_Within/
The White Door,44,"2,23€","3,99€","Indie, Adventure, Puzzle, Point & Click",Very Positive,89,1145960,https://store.steampowered.com/app/1145960/The_White_Door/
ΔV: Rings of Saturn,44,"4,58€","8,19€","Space, Sci-fi, Physics, Singleplayer",Very Positive,93,846030,https://store.steampowered.com/app/846030/DV_Rings_of_Saturn/
Follow the meaning,44,"2,79€","4,99€","Adventure, Puzzle, Point & Click, 2D",Very Positive,93,2720280,https://store.steampowered.com/app/2720280/Follow_the_meaning/
Obscure Chronicle of Dynasty,43,"1,41€","2,49€","Early Access, Turn-Based Tactics, Story Rich, Historical",Very Positive,93,2010900,https://store.steampowered.com/app/2010900/Obscure_Chronicle_of_Dynasty/
Kimi no Hitomi ni Hit Me,43,"16,52€","28,99€","Casual, Adventure, Dating Sim, Interactive Fiction",Very Positive,92,2947240,https://store.steampowered.com/app/2947240/Kimi_no_Hitomi_ni_Hit_Me/
Café Stella and the Reaper's Butterflies,42,"19,71€","33,99€","Visual Novel, Sexual Content, Romance, Story Rich",Very Positive,96,1829980,https://store.steampowered.com/app/1829980/Caf_Stella_and_the_Reapers_Butterflies/
Rusted Warfare - RTS,42,"2,89€","4,99€","RTS, Strategy, Base Building, Moddable",Overwhelmingly Positive,96,647960,https://store.steampowered.com/app/647960/Rusted_Warfare__RTS/
klocki,42,"1,73€","2,99€","Relaxing, Puzzle, Casual, Minimalist",Overwhelmingly Positive,97,499440,https://store.steampowered.com/app/499440/klocki/
Shadows Over Loathing,42,"12,75€","21,99€","Adventure, RPG, Point & Click, Puzzle",Overwhelmingly Positive,95,1939160,https://store.steampowered.com/app/1939160/Shadows_Over_Loathing/
Realms of Flow,42,"8,98€","15,49€","Relaxing, VR, Nature, Atmospheric",Very Positive,98,2397600,https://store.steampowered.com/app/2397600/Realms_of_Flow/
VIVIDLOPE,42,"5,65€","9,75€","Arcade, Puzzle, 3D, Top-Down",Very Positive,97,2078510,https://store.steampowered.com/app/2078510/VIVIDLOPE/
[DE:]Fanastasis,42,"8,11€","13,99€","Exploration, Post-apocalyptic, Nonlinear, Stealth",Very Positive,96,2882080,https://store.steampowered.com/app/2882080/DEFanastasis/
Ballex²: The Hanging Gardens,42,"7,24€","12,49€","Adventure, Level Editor, Racing, Puzzle Platformer",Very Positive,95,1383570,https://store.steampowered.com/app/1383570/Ballex_The_Hanging_Gardens/
Staffer Case: A Supernatural Mystery Adventure,42,"9,56€","16,49€","Detective, Story Rich, Mystery, Visual Novel",Very Positive,94,2128480,https://store.steampowered.com/app/2128480/Staffer_Case_A_Supernatural_Mystery_Adventure/
Bobok,42,"2,89€","4,99€","Visual Novel, Based On A Novel, Psychological Horror, Dark Humor",Very Positive,94,1783510,https://store.steampowered.com/app/1783510/Bobok/
Hook,41,"1,76€","2,99€","Casual, Puzzle, Relaxing, Minimalist",Overwhelmingly Positive,96,367580,https://store.steampowered.com/app/367580/Hook/
Staffer Reborn,41,"2,94€","4,99€","Adventure, Investigation, Story Rich, Visual Novel",Overwhelmingly Positive,96,2658920,https://store.steampowered.com/app/2658920/Staffer_Reborn/
The Forest of Drizzling Rain,41,"7,84€","13,29€","RPG, Adventure, Horror, 2D",Very Positive,96,2106810,https://store.steampowered.com/app/2106810/The_Forest_of_Drizzling_Rain/
The Quintessential Quintuplets - Five Memories Spent With You,41,"20,64€","34,99€","Adventure, Visual Novel, Anime, Comedy",Very Positive,96,2507620,https://store.steampowered.com/app/2507620/The_Quintessential_Quintuplets__Five_Memories_Spent_With_You/
Water Boiling Simulator,41,"0,94€","1,58€","Horror, Survival Horror, Psychological Horror, First-Person",Very Positive,94,4280820,https://store.steampowered.com/app/4280820/Water_Boiling_Simulator/
NABOKI,41,"1,76€","2,99€","Casual, Puzzle, Minimalist, Relaxing",Very Positive,92,1177130,https://store.steampowered.com/app/1177130/NABOKI/
A Castle Full of Cats,40,"2,34€","3,90€","Cats, Hidden Object, Wholesome, Point & Click",Overwhelmingly Positive,99,2070550,https://store.steampowered.com/app/2070550/A_Castle_Full_of_Cats/
